[ ON - Servidor Harry Potter Iniciado ]
[ Fecha: 2008-06-12 ]
  > 12:25:53 >> pos-garrulo*020011
  > 12:25:54 >> pos-garrulo*020012
  > 12:25:55 >> pos-garrulo*020013
  > 12:25:55 >> pos-garrulo*020014
  > 12:25:56 >> pos-garrulo*050001
  > 12:25:56 >> pos-garrulo*050002
  > 12:25:57 >> pos-garrulo*050003
  > 12:25:57 >> pos-garrulo*050004
  > 12:25:58 >> pos-garrulo*050005
  > 12:25:58 >> pos-garrulo*050006
  > 12:25:59 >> pos-garrulo*050007
  > 12:25:59 >> pos-garrulo*050008
  > 12:26:00 >> pos-garrulo*050009
  > 12:26:01 >> pos-garrulo*050010
  > 12:26:01 >> pos-garrulo*050110
  > 12:26:02 >> pos-garrulo*050210
  > 12:26:03 >> pos-garrulo*050310
  > 12:26:04 >> pos-garrulo*050410
  > 12:26:05 >> pos-garrulo*050510
  > 12:26:05 >> pos-garrulo*050509
  > 12:26:06 >> pos-garrulo*050508
  > 12:26:06 >> pos-garrulo*050608
  > 12:26:07 >> pos-garrulo*050708
  > 12:26:07 >> pos-garrulo*050707
  > 12:26:08 >> pos-garrulo*050706
  > 12:26:09 >> pos-garrulo*050705
  > 12:26:09 >> pos-garrulo*050704
  > 12:26:10 >> pos-garrulo*050703
  > 12:26:10 >> pos-garrulo*050702
  > 12:27:57 >> bd-garrulo
  > 12:27:59 >> okbd-garrulo*030101031100100010123100
  > 12:28:00 >> conectar-garrulo*03010103
  > 12:28:02 >> pos-garrulo*030102
  > 12:28:04 >> pos-garrulo*030101
  > 12:28:05 >> pos-garrulo*000114
  > 12:28:06 >> pos-garrulo*030101
  > 12:28:07 >> pos-garrulo*030102
  > 12:28:08 >> pos-garrulo*030103
  > 12:28:09 >> pos-garrulo*030104
  > 12:28:10 >> pos-garrulo*030105
  > 12:28:10 >> pos-garrulo*030106
  > 12:28:11 >> pos-garrulo*030107
  > 12:28:11 >> pos-garrulo*030108
  > 12:28:12 >> pos-garrulo*030109
  > 12:28:13 >> pos-garrulo*030110
  > 12:28:14 >> pos-garrulo*030111
  > 12:28:14 >> pos-garrulo*030112
  > 12:28:15 >> pos-garrulo*030113
  > 12:28:16 >> pos-garrulo*030114
  > 12:28:17 >> pos-garrulo*060101
  > 12:28:17 >> pos-garrulo*060102
  > 12:28:18 >> pos-garrulo*060202
  > 12:28:19 >> pos-garrulo*060302
  > 12:28:20 >> pos-garrulo*060402
  > 12:28:20 >> pos-garrulo*060502
  > 12:28:21 >> pos-garrulo*060602
  > 12:28:22 >> pos-garrulo*060702
  > 12:28:22 >> pos-garrulo*060802
  > 12:28:23 >> pos-garrulo*060902
  > 12:28:24 >> pos-garrulo*060802
  > 12:28:24 >> pos-garrulo*060702
  > 12:28:25 >> pos-garrulo*060703
  > 12:28:26 >> pos-garrulo*060704
  > 12:28:27 >> pos-garrulo*060705
  > 12:31:00 >> bd-garrulo
  > 12:31:01 >> okbd-garrulo*030101031100100010123100
  > 12:31:02 >> conectar-garrulo*03010103
  > 12:31:04 >> pos-garrulo*030102
  > 12:31:05 >> pos-garrulo*030103
  > 12:31:06 >> pos-garrulo*030104
  > 12:31:07 >> pos-garrulo*030105
  > 12:31:08 >> pos-garrulo*030106
  > 12:31:08 >> pos-garrulo*030107
  > 12:31:09 >> pos-garrulo*030108
  > 12:31:10 >> pos-garrulo*030109
  > 12:31:11 >> pos-garrulo*030110
  > 12:31:11 >> pos-garrulo*030111
  > 12:31:12 >> pos-garrulo*030112
  > 12:31:12 >> pos-garrulo*030212
  > 12:31:13 >> pos-garrulo*030213
  > 12:31:14 >> pos-garrulo*030313
  > 12:31:14 >> pos-garrulo*030413
  > 12:31:15 >> pos-garrulo*030513
  > 12:31:16 >> pos-garrulo*030613
  > 12:31:17 >> pos-garrulo*030713
  > 12:31:27 >> pos-garrulo*030712
  > 12:31:28 >> pos-garrulo*030711
  > 12:31:29 >> pos-garrulo*030710
  > 12:31:30 >> pos-garrulo*030709
  > 12:31:31 >> pos-garrulo*030609
  > 12:31:32 >> pos-garrulo*030509
  > 12:31:33 >> pos-garrulo*030409
  > 12:31:34 >> pos-garrulo*030309
  > 12:31:35 >> pos-garrulo*030209
  > 12:31:36 >> pos-garrulo*030210
  > 12:31:37 >> pos-garrulo*030211
  > 12:31:38 >> pos-garrulo*030212
  > 12:31:38 >> pos-garrulo*030213
  > 12:31:39 >> pos-garrulo*030313
  > 12:31:40 >> pos-garrulo*030413
  > 12:31:40 >> pos-garrulo*030513
  > 12:31:41 >> pos-garrulo*030512
  > 12:33:31 >> bd-milio
  > 12:33:33 >> okbd-milio*0501010731101000101230
  > 12:33:35 >> conectar-milio*05010107
  > 12:33:37 >> pos-milio*020114
  > 12:33:38 >> pos-milio*020214
  > 12:33:39 >> pos-milio*020314
  > 12:33:39 >> pos-milio*020414
  > 12:33:40 >> pos-milio*020514
  > 12:33:41 >> pos-milio*020614
  > 12:33:41 >> pos-milio*020613
  > 12:33:42 >> pos-milio*020612
  > 12:33:43 >> pos-milio*020611
  > 12:33:43 >> pos-milio*020610
  > 12:33:44 >> pos-milio*020710
  > 12:33:54 >> pos-milio*020711
  > 12:33:55 >> pos-milio*020712
  > 12:33:55 >> pos-milio*020713
  > 12:33:56 >> pos-milio*020714
  > 12:33:57 >> pos-milio*020814
  > 12:33:58 >> pos-milio*020914
  > 12:33:58 >> pos-milio*021014
  > 12:33:59 >> pos-milio*021114
  > 12:39:30 >> bd-garrulo
  > 12:39:32 >> okbd-garrulo*030101031100100010123100
  > 12:39:34 >> conectar-garrulo*03010103
  > 12:39:35 >> pos-garrulo*030102
  > 12:39:36 >> pos-garrulo*030103
  > 12:39:37 >> pos-garrulo*030104
  > 12:39:37 >> pos-garrulo*030105
  > 12:39:38 >> pos-garrulo*030106
  > 12:39:39 >> pos-garrulo*030107
  > 12:39:39 >> pos-garrulo*030108
  > 12:39:40 >> pos-garrulo*030109
  > 12:39:41 >> pos-garrulo*030110
  > 12:39:42 >> pos-garrulo*030111
  > 12:39:42 >> pos-garrulo*030112
  > 12:39:43 >> pos-garrulo*030113
  > 12:39:44 >> pos-garrulo*030213
  > 12:39:45 >> pos-garrulo*030313
  > 12:39:46 >> pos-garrulo*030413
  > 12:39:46 >> pos-garrulo*030513
  > 12:39:47 >> pos-garrulo*030613
  > 12:39:47 >> pos-garrulo*030713
  > 12:39:50 >> pos-garrulo*030712
  > 12:39:51 >> pos-garrulo*030711
  > 12:39:52 >> pos-garrulo*030710
  > 12:39:53 >> pos-garrulo*030709
  > 12:39:53 >> pos-garrulo*030708
  > 12:39:54 >> pos-garrulo*030707
  > 12:39:55 >> pos-garrulo*030706
  > 12:39:56 >> pos-garrulo*030705
  > 12:39:56 >> pos-garrulo*030704
  > 12:39:57 >> pos-garrulo*030703
  > 12:39:58 >> pos-garrulo*030702
  > 12:39:58 >> pos-garrulo*030701
  > 12:39:59 >> pos-garrulo*000714
  > 12:40:00 >> pos-garrulo*000713
  > 12:40:00 >> pos-garrulo*000712
  > 12:40:01 >> pos-garrulo*000711
  > 12:40:02 >> pos-garrulo*000710
  > 12:40:02 >> pos-garrulo*000709
  > 12:40:03 >> pos-garrulo*000708
  > 12:40:04 >> pos-garrulo*000707
  > 12:40:04 >> pos-garrulo*000706
  > 12:40:05 >> pos-garrulo*000705
  > 12:40:06 >> pos-garrulo*000704
  > 12:40:07 >> pos-garrulo*000703
  > 12:40:08 >> pos-garrulo*000603
  > 12:40:09 >> pos-garrulo*000503
  > 12:40:10 >> pos-garrulo*000403
  > 12:40:11 >> pos-garrulo*000303
  > 12:40:12 >> pos-garrulo*000304
  > 12:40:13 >> pos-garrulo*000305
  > 12:40:14 >> pos-garrulo*000306
  > 12:40:14 >> pos-garrulo*000307
  > 12:40:15 >> pos-garrulo*000308
  > 12:40:16 >> pos-garrulo*000309
  > 12:40:17 >> pos-garrulo*000310
  > 12:40:18 >> pos-garrulo*000311
  > 12:40:19 >> pos-garrulo*000312
  > 12:42:06 >> bd-garrulo
  > 12:42:08 >> okbd-garrulo*030101031100100010123100
  > 12:42:09 >> conectar-garrulo*03010103
  > 12:42:11 >> pos-garrulo*000114
  > 12:42:12 >> pos-garrulo*000214
  > 12:42:13 >> pos-garrulo*000314
  > 12:42:14 >> pos-garrulo*000414
  > 12:42:15 >> pos-garrulo*000514
  > 12:42:15 >> pos-garrulo*000614
  > 12:42:16 >> pos-garrulo*000714
  > 12:42:17 >> pos-garrulo*000713
  > 12:42:18 >> pos-garrulo*000712
  > 12:42:18 >> pos-garrulo*000711
  > 12:42:19 >> pos-garrulo*000710
  > 12:42:20 >> pos-garrulo*000709
  > 12:42:20 >> pos-garrulo*000708
  > 12:42:21 >> pos-garrulo*000707
  > 12:42:22 >> pos-garrulo*000706
  > 12:42:22 >> pos-garrulo*000705
  > 12:42:24 >> pos-garrulo*000704
  > 12:42:25 >> pos-garrulo*000703
  > 12:42:25 >> pos-garrulo*000603
  > 12:42:26 >> pos-garrulo*000503
  > 12:42:27 >> pos-garrulo*000504
  > 12:42:28 >> pos-garrulo*000404
  > 12:42:29 >> pos-garrulo*000405
  > 12:42:30 >> pos-garrulo*000505
  > 12:42:35 >> pos-garrulo*000506
  > 12:42:36 >> pos-garrulo*000507
  > 12:42:37 >> pos-garrulo*000506
  > 12:42:38 >> pos-garrulo*000505
  > 12:42:55 >> pos-garrulo*030707
  > 12:42:58 >> pos-garrulo*030708
  > 12:42:59 >> pos-garrulo*030709
  > 12:42:59 >> pos-garrulo*030609
  > 12:43:01 >> pos-garrulo*030610
  > 12:43:02 >> pos-garrulo*030611
  > 12:43:03 >> pos-garrulo*030612
  > 12:43:04 >> pos-garrulo*030611
  > 12:43:04 >> pos-garrulo*030610
  > 12:43:05 >> pos-garrulo*030609
  > 12:43:06 >> pos-garrulo*030709
  > 12:43:07 >> pos-garrulo*030809
  > 12:43:08 >> pos-garrulo*030810
  > 12:43:09 >> pos-garrulo*030811
  > 12:43:10 >> pos-garrulo*030711
  > 12:43:11 >> pos-garrulo*030611
  > 12:43:12 >> pos-garrulo*030511
  > 12:43:13 >> pos-garrulo*030411
  > 12:43:14 >> pos-garrulo*030410
  > 12:43:15 >> pos-garrulo*030409
  > 12:43:16 >> pos-garrulo*030408
  > 12:43:16 >> pos-garrulo*030508
  > 12:43:17 >> pos-garrulo*030507
  > 12:43:18 >> pos-garrulo*030506
  > 12:43:19 >> pos-garrulo*030507
  > 12:43:20 >> pos-garrulo*030508
  > 12:43:21 >> pos-garrulo*030509
  > 12:43:23 >> pos-garrulo*030510
  > 12:43:23 >> pos-garrulo*030511
  > 12:43:24 >> pos-garrulo*030512
  > 12:43:26 >> pos-garrulo*030513
  > 12:43:27 >> pos-garrulo*030514
  > 12:43:28 >> pos-garrulo*030513
  > 12:43:29 >> pos-garrulo*030512
  > 12:43:29 >> pos-garrulo*030511
  > 12:43:31 >> pos-garrulo*030512
  > 12:43:32 >> pos-garrulo*030513
  > 12:43:32 >> pos-garrulo*030514
  > 12:43:34 >> pos-garrulo*060501
  > 12:43:34 >> pos-garrulo*060502
  > 12:43:35 >> pos-garrulo*060503
  > 12:43:36 >> pos-garrulo*060603
  > 12:43:37 >> pos-garrulo*060604
  > 12:43:39 >> pos-garrulo*060704
  > 12:43:40 >> pos-garrulo*060705
  > 12:43:40 >> pos-garrulo*060706
  > 12:43:41 >> pos-garrulo*060707
  > 12:43:42 >> pos-garrulo*060708
  > 12:43:43 >> pos-garrulo*060709
  > 12:43:44 >> pos-garrulo*060710
  > 12:43:45 >> pos-garrulo*060711
  > 12:43:46 >> pos-garrulo*060712
  > 12:43:47 >> pos-garrulo*060812
  > 12:43:48 >> pos-garrulo*060912
  > 12:43:49 >> pos-garrulo*061012
  > 12:43:49 >> pos-garrulo*061112
  > 12:43:50 >> pos-garrulo*061212
  > 12:43:51 >> pos-garrulo*061312
  > 12:43:52 >> pos-garrulo*061412
  > 12:43:53 >> pos-garrulo*070012
  > 12:43:54 >> pos-garrulo*070112
  > 12:43:54 >> pos-garrulo*070212
  > 12:43:55 >> pos-garrulo*070312
  > 12:43:56 >> pos-garrulo*070412
  > 12:43:56 >> pos-garrulo*070512
  > 12:43:57 >> pos-garrulo*070612
  > 12:43:58 >> pos-garrulo*070712
  > 12:43:58 >> pos-garrulo*070812
  > 12:43:59 >> pos-garrulo*070912
  > 12:44:00 >> pos-garrulo*071012
  > 12:44:00 >> pos-garrulo*071112
  > 12:44:01 >> pos-garrulo*071212
  > 12:44:02 >> pos-garrulo*071312
  > 12:44:03 >> pos-garrulo*071412
  > 12:44:03 >> pos-garrulo*080012
  > 12:44:04 >> pos-garrulo*080112
  > 12:44:04 >> pos-garrulo*080212
  > 12:44:05 >> pos-garrulo*080312
  > 12:44:06 >> pos-garrulo*080412
  > 12:44:06 >> pos-garrulo*080512
  > 12:44:07 >> pos-garrulo*080612
  > 12:44:07 >> pos-garrulo*080712
  > 12:44:08 >> pos-garrulo*080711
  > 12:44:08 >> pos-garrulo*080710
  > 12:44:09 >> pos-garrulo*080709
  > 12:44:09 >> pos-garrulo*080708
  > 12:44:10 >> pos-garrulo*080707
  > 12:44:10 >> pos-garrulo*080706
  > 12:44:11 >> pos-garrulo*080705
  > 12:44:12 >> pos-garrulo*080704
  > 12:44:12 >> pos-garrulo*080703
  > 12:44:13 >> pos-garrulo*080702
  > 12:44:13 >> pos-garrulo*080701
  > 12:44:14 >> pos-garrulo*080702
  > 12:44:15 >> pos-garrulo*080703
  > 12:44:15 >> pos-garrulo*080702
  > 12:44:16 >> pos-garrulo*080701
  > 12:44:16 >> pos-garrulo*050714
  > 12:44:17 >> pos-garrulo*050713
  > 12:44:17 >> pos-garrulo*050712
  > 12:44:18 >> pos-garrulo*050711
  > 12:44:18 >> pos-garrulo*050710
  > 12:44:19 >> pos-garrulo*050709
  > 12:44:19 >> pos-garrulo*050708
  > 12:44:20 >> pos-garrulo*050707
  > 12:44:20 >> pos-garrulo*050706
  > 12:44:21 >> pos-garrulo*050705
  > 12:44:21 >> pos-garrulo*050704
  > 12:44:22 >> pos-garrulo*050703
  > 12:44:22 >> pos-garrulo*050702
  > 12:44:23 >> pos-garrulo*050701
  > 12:44:23 >> pos-garrulo*020714
  > 12:44:24 >> pos-garrulo*020713
  > 12:44:24 >> pos-garrulo*020712
  > 12:44:25 >> pos-garrulo*020711
  > 12:44:25 >> pos-garrulo*020710
  > 12:47:48 >> bd-garrulo
  > 12:47:50 >> okbd-garrulo*030101031100100010123100
  > 12:47:51 >> conectar-garrulo*03010103
  > 12:47:53 >> pos-garrulo*030102
  > 12:47:54 >> pos-garrulo*030103
  > 12:47:54 >> pos-garrulo*030104
  > 12:47:55 >> pos-garrulo*030105
  > 12:47:56 >> pos-garrulo*030106
  > 12:47:56 >> pos-garrulo*030107
  > 12:47:57 >> pos-garrulo*030108
  > 12:47:58 >> pos-garrulo*030109
  > 12:47:58 >> pos-garrulo*030110
  > 12:47:59 >> pos-garrulo*030111
  > 12:48:00 >> pos-garrulo*030112
  > 12:48:01 >> pos-garrulo*030113
  > 12:48:02 >> pos-garrulo*030213
  > 12:48:02 >> pos-garrulo*030313
  > 12:48:03 >> pos-garrulo*030413
  > 12:48:03 >> pos-garrulo*030513
  > 12:48:04 >> pos-garrulo*030613
  > 12:48:05 >> pos-garrulo*030713
  > 12:48:27 >> pos-garrulo*030714
  > 12:48:29 >> pos-garrulo*060701
  > 12:48:30 >> pos-garrulo*060702
  > 12:48:31 >> pos-garrulo*060701
  > 12:48:32 >> pos-garrulo*030714
  > 12:48:33 >> pos-garrulo*030814
  > 12:48:34 >> pos-garrulo*030813
  > 12:48:34 >> pos-garrulo*030812
  > 12:48:35 >> pos-garrulo*030811
  > 12:48:36 >> pos-garrulo*030810
  > 12:48:36 >> pos-garrulo*030809
  > 12:48:37 >> pos-garrulo*030808
  > 12:48:37 >> pos-garrulo*030708
  > 12:48:38 >> pos-garrulo*030707
  > 12:48:39 >> pos-garrulo*030706
  > 12:48:40 >> pos-garrulo*030705
  > 12:48:40 >> pos-garrulo*030704
  > 12:48:41 >> pos-garrulo*030703
  > 12:48:42 >> pos-garrulo*030702
  > 12:48:43 >> pos-garrulo*030701
  > 12:48:44 >> pos-garrulo*000714
  > 12:48:45 >> pos-garrulo*000713
  > 12:48:46 >> pos-garrulo*000712
  > 12:48:47 >> pos-garrulo*000711
  > 12:48:49 >> pos-garrulo*000710
  > 12:56:45 >> bd-garrulo
  > 12:56:47 >> okbd-garrulo*030101031100100010123100
  > 12:56:49 >> conectar-garrulo*03010103
  > 12:56:50 >> pos-garrulo*030102
  > 12:56:51 >> pos-garrulo*030103
  > 12:56:52 >> pos-garrulo*030104
  > 12:56:53 >> pos-garrulo*030105
  > 12:56:53 >> pos-garrulo*030106
  > 12:56:54 >> pos-garrulo*030107
  > 12:56:55 >> pos-garrulo*030108
  > 12:56:56 >> pos-garrulo*030109
  > 12:56:56 >> pos-garrulo*030110
  > 12:56:57 >> pos-garrulo*030111
  > 12:56:58 >> pos-garrulo*030112
  > 12:56:58 >> pos-garrulo*030212
  > 12:56:59 >> pos-garrulo*030312
  > 12:56:59 >> pos-garrulo*030412
  > 12:57:00 >> pos-garrulo*030512
  > 12:57:01 >> pos-garrulo*030612
  > 12:57:01 >> pos-garrulo*030712
  > 12:57:02 >> pos-garrulo*030713
  > 12:57:08 >> pos-garrulo*030712
  > 12:57:09 >> pos-garrulo*030713
  > 12:59:18 >> bd-garrulo
  > 12:59:20 >> okbd-garrulo*030101031100100010123100
  > 12:59:22 >> conectar-garrulo*03010103
  > 12:59:23 >> pos-garrulo*030102
  > 12:59:24 >> pos-garrulo*030103
  > 12:59:24 >> pos-garrulo*030104
  > 12:59:25 >> pos-garrulo*030105
  > 12:59:26 >> pos-garrulo*030106
  > 12:59:26 >> pos-garrulo*030107
  > 12:59:27 >> pos-garrulo*030108
  > 12:59:28 >> pos-garrulo*030109
  > 12:59:28 >> pos-garrulo*030110
  > 12:59:29 >> pos-garrulo*030111
  > 12:59:30 >> pos-garrulo*030112
  > 12:59:31 >> pos-garrulo*030113
  > 12:59:32 >> pos-garrulo*030114
  > 12:59:33 >> pos-garrulo*030214
  > 12:59:33 >> pos-garrulo*030314
  > 12:59:34 >> pos-garrulo*030414
  > 12:59:35 >> pos-garrulo*030514
  > 12:59:35 >> pos-garrulo*030614
  > 12:59:36 >> pos-garrulo*030714
  > 12:59:37 >> pos-garrulo*030713
  > 12:59:38 >> pos-garrulo*030714
  > 12:59:39 >> pos-garrulo*030614
  > 12:59:40 >> pos-garrulo*030514
  > 12:59:43 >> pos-garrulo*030513
  > 12:59:46 >> pos-garrulo*030512
  > 12:59:47 >> pos-garrulo*030612
  > 12:59:47 >> pos-garrulo*030712
  > 12:59:48 >> pos-garrulo*030713
  > 13:01:10 >> bd-garrulo
  > 13:01:11 >> okbd-garrulo*030101031100100010123100
  > 13:01:16 >> conectar-garrulo*03010103
  > 13:01:18 >> pos-garrulo*030102
  > 13:01:19 >> pos-garrulo*030103
  > 13:01:19 >> pos-garrulo*030104
  > 13:01:20 >> pos-garrulo*030105
  > 13:01:21 >> pos-garrulo*030106
  > 13:01:22 >> pos-garrulo*030107
  > 13:01:23 >> pos-garrulo*030108
  > 13:01:24 >> pos-garrulo*030109
  > 13:01:24 >> pos-garrulo*030110
  > 13:01:25 >> pos-garrulo*030111
  > 13:01:26 >> pos-garrulo*030112
  > 13:01:26 >> pos-garrulo*030113
  > 13:01:27 >> pos-garrulo*030213
  > 13:01:28 >> pos-garrulo*030313
  > 13:01:28 >> pos-garrulo*030413
  > 13:01:29 >> pos-garrulo*030513
  > 13:01:30 >> pos-garrulo*030613
  > 13:01:30 >> pos-garrulo*030713
  > 13:01:37 >> pos-garrulo*030813
  > 13:01:40 >> pos-garrulo*030812
  > 13:01:41 >> pos-garrulo*030811
  > 13:01:43 >> pos-garrulo*030810
  > 13:01:44 >> pos-garrulo*030710
  > 13:01:45 >> pos-garrulo*030709
  > 13:01:46 >> pos-garrulo*030708
  > 13:01:48 >> pos-garrulo*030707
  > 13:01:49 >> pos-garrulo*030706
  > 13:01:50 >> pos-garrulo*030705
  > 13:01:51 >> pos-garrulo*030704
  > 13:01:52 >> pos-garrulo*030703
  > 13:01:53 >> pos-garrulo*030702
  > 13:01:54 >> pos-garrulo*030701
  > 13:01:56 >> pos-garrulo*000714
  > 13:01:57 >> pos-garrulo*030701
  > 13:01:58 >> pos-garrulo*030702
  > 13:01:59 >> pos-garrulo*030701
  > 13:02:00 >> pos-garrulo*000714
  > 13:02:02 >> pos-garrulo*000713
  > 13:02:03 >> pos-garrulo*000712
  > 13:02:04 >> pos-garrulo*000711
  > 13:02:05 >> pos-garrulo*000710
  > 13:02:06 >> pos-garrulo*000709
  > 13:02:07 >> pos-garrulo*000710
  > 13:02:08 >> pos-garrulo*000709
  > 13:02:09 >> pos-garrulo*000710
  > 13:03:51 >> bd-garrulo
  > 13:03:53 >> okbd-garrulo*030101031100100010123100
  > 13:03:54 >> conectar-garrulo*03010103
  > 13:03:56 >> pos-garrulo*000114
  > 13:03:57 >> pos-garrulo*000214
  > 13:03:57 >> pos-garrulo*000314
  > 13:03:58 >> pos-garrulo*000414
  > 13:03:59 >> pos-garrulo*000514
  > 13:04:00 >> pos-garrulo*000614
  > 13:04:00 >> pos-garrulo*000714
  > 13:04:01 >> pos-garrulo*000713
  > 13:04:02 >> pos-garrulo*000712
  > 13:04:03 >> pos-garrulo*000711
  > 13:04:04 >> pos-garrulo*000710
  > 13:04:09 >> pos-garrulo*000711
  > 13:04:10 >> pos-garrulo*000710
  > 13:04:33 >> bd-garrulo
  > 13:04:34 >> okbd-garrulo*030101031100100010123100
  > 13:04:36 >> conectar-garrulo*03010103
  > 13:04:37 >> pos-garrulo*030201
  > 13:04:38 >> pos-garrulo*030301
  > 13:04:39 >> pos-garrulo*030401
  > 13:04:40 >> pos-garrulo*030501
  > 13:04:40 >> pos-garrulo*030502
  > 13:04:41 >> pos-garrulo*030503
  > 13:04:42 >> pos-garrulo*030504
  > 13:04:43 >> pos-garrulo*030505
  > 13:04:53 >> pos-garrulo*030506
  > 13:06:25 >> bd-garrulo
  > 13:06:26 >> okbd-garrulo*030101031100100010123100
  > 13:06:30 >> conectar-garrulo*03010103
  > 13:06:32 >> pos-garrulo*000114
  > 13:06:33 >> pos-garrulo*000214
  > 13:06:33 >> pos-garrulo*000314
  > 13:06:34 >> pos-garrulo*000414
  > 13:06:35 >> pos-garrulo*000514
  > 13:06:36 >> pos-garrulo*000614
  > 13:06:36 >> pos-garrulo*000714
  > 13:06:37 >> pos-garrulo*000713
  > 13:06:38 >> pos-garrulo*000712
  > 13:06:38 >> pos-garrulo*000711
  > 13:06:39 >> pos-garrulo*000710
  > 13:06:42 >> pos-garrulo*000709
  > 13:06:43 >> pos-garrulo*000708
  > 13:06:43 >> pos-garrulo*000707
  > 13:06:44 >> pos-garrulo*000607
  > 13:06:45 >> pos-garrulo*000606
  > 13:06:46 >> pos-garrulo*000506
  > 13:06:46 >> pos-garrulo*000505
  > 13:07:00 >> pos-garrulo*000506
  > 13:07:00 >> pos-garrulo*000507
  > 13:07:01 >> pos-garrulo*000607
  > 13:07:02 >> pos-garrulo*000707
  > 13:08:31 >> bd-garrulo
  > 13:08:33 >> okbd-garrulo*030101031100100010123100
  > 13:08:35 >> conectar-garrulo*03010103
  > 13:08:37 >> pos-garrulo*030201
  > 13:08:38 >> pos-garrulo*030301
  > 13:08:39 >> pos-garrulo*030401
  > 13:08:41 >> pos-garrulo*030501
  > 13:08:42 >> pos-garrulo*030601
  > 13:08:43 >> pos-garrulo*030701
  > 13:08:45 >> pos-garrulo*030801
  > 13:08:46 >> pos-garrulo*000814
  > 13:08:48 >> pos-garrulo*000813
  > 13:08:49 >> pos-garrulo*000812
  > 13:08:51 >> pos-garrulo*000811
  > 13:08:52 >> pos-garrulo*000810
  > 13:08:53 >> pos-garrulo*000710
  > 13:08:54 >> pos-garrulo*000711
  > 13:08:55 >> pos-garrulo*000611
  > 13:08:57 >> pos-garrulo*000610
  > 13:08:59 >> pos-garrulo*000609
  > 13:09:00 >> pos-garrulo*000608
  > 13:09:00 >> pos-garrulo*000607
  > 13:09:01 >> pos-garrulo*000606
  > 13:09:02 >> pos-garrulo*000506
  > 13:09:03 >> pos-garrulo*000505
[ ON - Servidor Harry Potter Iniciado ]
[ Fecha: 2008-06-12 ]
[ Hora: 14:49:25 ]
  > 14:49:37 >> bd-garrulo
  > 14:49:40 >> okbd-garrulo*030101031100100010123100
  > 14:49:47 >> conectar-garrulo*03010103
  > 14:49:50 >> pos-garrulo*030102
  > 14:49:52 >> pos-garrulo*030103
  > 14:49:52 >> pos-garrulo*030104
  > 14:49:53 >> pos-garrulo*030105
  > 14:49:54 >> pos-garrulo*030106
  > 14:49:54 >> pos-garrulo*030107
  > 14:49:55 >> pos-garrulo*030108
  > 14:49:56 >> pos-garrulo*030208
  > 14:49:56 >> pos-garrulo*030308
  > 14:49:57 >> pos-garrulo*030408
  > 14:49:58 >> pos-garrulo*030508
  > 14:49:59 >> pos-garrulo*030608
  > 14:49:59 >> pos-garrulo*030708
  > 14:50:00 >> pos-garrulo*030808
  > 14:50:01 >> pos-garrulo*030807
  > 14:50:02 >> pos-garrulo*030806
  > 14:50:03 >> pos-garrulo*030805
  > 14:50:03 >> pos-garrulo*030804
  > 14:50:04 >> pos-garrulo*030803
  > 14:50:05 >> pos-garrulo*030802
  > 14:50:05 >> pos-garrulo*030801
  > 14:50:06 >> pos-garrulo*000814
  > 14:50:07 >> pos-garrulo*000813
  > 14:50:08 >> pos-garrulo*000812
  > 14:50:08 >> pos-garrulo*000811
  > 14:50:09 >> pos-garrulo*000810
  > 14:50:15 >> pos-garrulo*000809
  > 14:50:15 >> pos-garrulo*000808
  > 14:50:16 >> pos-garrulo*000809
  > 14:50:17 >> pos-garrulo*000810
  > 14:50:18 >> pos-garrulo*000811
  > 14:50:19 >> pos-garrulo*000812
  > 14:50:19 >> pos-garrulo*000813
  > 14:50:20 >> pos-garrulo*000814
  > 14:50:21 >> pos-garrulo*030801
  > 14:50:21 >> pos-garrulo*030802
  > 14:50:22 >> pos-garrulo*030803
  > 14:50:28 >> pos-garrulo*030804
  > 14:50:29 >> pos-garrulo*030805
  > 14:50:30 >> pos-garrulo*030806
  > 14:50:31 >> pos-garrulo*030807
  > 14:50:32 >> pos-garrulo*030808
  > 14:50:33 >> pos-garrulo*030809
  > 14:50:33 >> pos-garrulo*030810
  > 14:50:34 >> pos-garrulo*030811
  > 14:50:34 >> pos-garrulo*030812
  > 14:50:35 >> pos-garrulo*030813
  > 14:50:36 >> pos-garrulo*030814
  > 14:50:36 >> pos-garrulo*060801
  > 14:50:37 >> pos-garrulo*060802
  > 14:50:38 >> pos-garrulo*060803
  > 14:50:39 >> pos-garrulo*060804
  > 14:50:39 >> pos-garrulo*060805
  > 14:50:40 >> pos-garrulo*060806
  > 14:50:41 >> pos-garrulo*060807
  > 14:50:41 >> pos-garrulo*060808
  > 14:50:42 >> pos-garrulo*060809
  > 14:50:43 >> pos-garrulo*060810
  > 14:50:43 >> pos-garrulo*060811
  > 14:50:44 >> pos-garrulo*060812
  > 14:50:45 >> pos-garrulo*060813
  > 14:50:45 >> pos-garrulo*060814
  > 14:50:46 >> pos-garrulo*060814
  > 14:50:46 >> pos-garrulo*060813
  > 14:50:47 >> pos-garrulo*060812
  > 14:50:47 >> pos-garrulo*060811
  > 14:50:48 >> pos-garrulo*060810
  > 14:50:49 >> pos-garrulo*060809
  > 14:50:49 >> pos-garrulo*060709
  > 14:50:50 >> pos-garrulo*060609
  > 14:50:50 >> pos-garrulo*060509
  > 14:50:51 >> pos-garrulo*060510
